judul,dosen
MEMINIMALISIR PAPARAN ASAP ROKOK BERBASIS INTERNET OF THINGS ( IOT ) MENGGUNAKAN FILTRASI OTOMATIS DAN SENSOR MQ-2,"DR.Irfan,M.Si"
PENGEMBANGAN SISTEM CONTROL DAN MONITORING AIR CONDITIONER OTOMATIS BERBASIS SENSOR DHT 22 DAN INTERNET OF THINGS (IOT),"Mhd.Basri,S.Si.,M.Kom"
Optimasi Model Prediksi Hasil Belajar Siswa dalam Pembelajaran IPA Berbasis Media Sosial Menggunakan XGBoost dan Bayesian Optimization,"Zuli Agustina Gultom,M.Si"
PENGEMBANGAN MEDIA PEMBELAJARAN SIMULASI PERAKITAN KOMPUTER BERBASIS VIRTUAL REALITY,"Mulkan Azhari,S.Kom.,M.Kom"
PENERAPAN ALGORITMA LOGISTIC REGRESSION UNTUK PREDIKSI BANJIR DI KECAMATAN MEDAN MARELAN BERDASARKAN DATA CURAH HUJAN DAN FAKTOR METEOROLOGI,"Mahardika Abdi Prawira Tanjung S.Kom.,M.Kom"
PENGEMBANGAN SISTEM PROTEKSI DAN MONITORING ARUS LISTRIK PADA POWER OUTLET BERBASIS INTERNET OF THINGS (IOT),"Martiano,S.Pd.,S.Kom.,M.Kom"
IMPLEMENTASI IOT DALAM MEMPREDIKSI HASIL PANEN TANAMAN TOMAT MENGGUNAKAN METODE SMART (SIMPLE MULTI ATTRIBUTE RATING TECHNIQUE),"Fatma Sari Hutagalung S.Kom.,M.Kom"
SMART ANOPHELES TRAP LAMP INOVASI LAMPU PERANGKAP NYAMUK TENAGA SURYA SEBAGAI SOLUSI PENANGGULANGAN KEJADIAN MALARIA DI DESA BAGAN KUALA,"Dr.Firahmi Rizky,S.Kom.,M.Kom"
PENERAPAN TEKNOLOGI AUGMENTED REALITY PENDIDIKAN PENGENALAN SISTEM TATA SURYA BERBASIS ANDROID,"Amrullah,S.Kom.,M.Kom"
Pengembangan Sistem Smart Rubbish Organik & Non organik Ototmasi Berbasis Iot,"Mhd.Basri,S.Si.,M.Kom"
KLASIFIKASI JENIS TANAH BERBASIS DEEP LEARNING MENGGUNAKAN ALGORITMA CNN,"Dr.Firahmi Rizky,S.Kom.,M.Kom"
PERANCANGAN GERBANG TK OTOMATIS DENGAN SISTEM HEMAT ENERGI BERBASIS INTERNET OF THINGS (IOT),"Farid Akbar Siregar S.Kom.,M.Kom"
IMPLEMENTASI IOT UNTUK DETEKSI DINI SERANGAN HAMA PADA TANAMAN CABAI MERAH MENGGUNAKAN ALGORITMA ISOLATION FOREST,"Halim Maulana,S.T.,M.Kom"
Perancangan dan Pembuatan Kotak Donasi Pintar untuk Otomatisasi Penghitungan Dana Donasi Berbasis IoT,"Mahardika Abdi Prawira Tanjung S.Kom.,M.Kom"
RANCANG BANGUN SISTEM SMART DUMBBELL BERBASIS IOT UNTUK MENGHITUNG REPETISI LATIHAN BICEP CURL,"Dr.Al-khowarizmi,S.Kom.,M.Kom"
PENERAPAN TEKNOLOGI AUGMENTED REALITY UNTUK PEMBELAJARAN BIOLOGI DENGAN PEMODELAN 3D ANATOMI TUBUH MANUSIA BERBASIS ANDROID,"Farid Akbar Siregar S.Kom.,M.Kom"
IMPLEMENTASI TRANSFER LEARNING DENGAN INDOBERT PADA QUESTION ANSWERING BAHASA INDONESIA,"Farid Akbar Siregar S.Kom.,M.Kom"
RANCANG BANGUN TROLLEY DENGAN SISTEM CHECKOUT OTOMATIS BERBASIS IOT MENGGUNAKAN METODE BARCODE EAN-13,"Farid Akbar Siregar S.Kom.,M.Kom"
IMPLEMENTASI DAN EVALUASI KINERJA IOT MENGUNAKAN METODE NORMALIZED PERFORMANCE INDIKATOR (NPI) DAN OPTIMASI TARGET PRODUKTIVITAS MENGGUNAKAN METODE DATA ENVELOPMENT ANALYSIS (DEA) PADA LAHAN HIDROPONIK MODERN,"Yohanni Syahra,S.Si.,M.Kom"
DETEKETSI WAJAH MENGGUNAKAN ALGORITMA HAAR CASCADE BERBASIS HAAR FEATURE,"Martiano,S.Pd.,S.Kom.,M.Kom"
SISTEM KEAMANAN RUMAH PINTAR BERBASIS IOT DENGAN METODE BAYESIAN NETWORK UNTUK PEMANTAUAN DAN PROTEKSI REAL-TIME,"Indah Purnama Sari,S.T.,M.Kom"
ANALISIS PERBANDINGAN METODE RECURRENT NEURAL NETWORK DAN GRADIENT BOOSTING UNTUK PREDIKSI BANJIR,"Halim Maulana,S.T.,M.Kom"
ANALISIS PERENCANAAN DAN PENGENDALIAN STOK OBAT MENGGUNAKAN METODE ANALISIS ABC DAN ALGORITMA LG BOOSTING DI INSTALASI FARMASI,"Halim Maulana,S.T.,M.Kom"
PERANCANGAN OTOMATISASI PENYEMPROTAN DISINFEKTAN KANDANG BEBEK PETELUR BERBASIS IOT MENGGUNAKAN METODE LOGIC FUZZY,"Mahardika Abdi Prawira Tanjung S.Kom.,M.Kom"
RANCANG BANGUN SISTEM IOT UNTUK PENGISISAN PULSA DAN PEMANTAUAN SISA PULSA LISTRIK JARAK JAUH,"Mhd.Basri,S.Si.,M.Kom"
IMPLEMENTASI DATA MINING UNTUK MENENTUKAN POLA PENJUALAN PADA COFFEE SHOP MENGGUNAKAN ALGORITMA APRIORI ( Studi Kasus : Menrabic Coffee Shop ),"Indah Purnama Sari,S.T.,M.Kom"
ANALISIS PERBANDINGAN METODE RANDOM FOREST DENGAN LOGISTIC REGRESSION TERHADAP SENTIMEN PUBLIK PADA ULASAN FILM AGAK LAEN,"Amrullah,S.Kom.,M.Kom"
IMPLEMENTASI ALGORITMA SUPPORT VECTOR MACHINE (SVM) DAN LOGISTIC REGRESSION DALAM MENGANALISIS SENTIMEN TANGGAPAN MASYARAKAT TERHADAP TIKTOK SHOP DI SOCIAL MEDIA,"Indah Purnama Sari,S.T.,M.Kom"
PENERAPAN REGION OF INTEREST (ROI) DALAM SISTEM DETEKSI KEHADIRAN MAHASISWA DI RUANGAN KELAS,"Dr.Al-khowarizmi,S.Kom.,M.Kom"
Perancangan Tempat Sampah Pintar Berbasis IOT untuk Pemilahan Sampah Otomatis Menggunakan Sensor Infrared dan Pemantauan Real-Time,"Indah Purnama Sari,S.T.,M.Kom"
PENGEMBANGAN SISTEM DETEKSI TINGKAT KEMATANGAN BUAH BELIMBING DENGAN MENGGUNAKAN ESP32-CAM DAN SENSOR BERAT BERBASIS IoT,"Halim Maulana,S.T.,M.Kom"
RANCANG BANGUN TEMPAT SAMPAH BERBASIS IoT DENGAN MEKANISME PEMBAKARAN OTOMATIS MENGGUNAKAN SENSOR ULTRASONIK,"Dr.Firahmi Rizky,S.Kom.,M.Kom"
PREDIKSI KESIAPAN SISWA SEKOLAH DASAR MASUK SEKOLAH MENENGAH PERTAMA MENGGUNAKAN ALGORITMA RANDOM FOREST,"Mhd.Basri,S.Si.,M.Kom"
RANCANG BANGUN SISTEM BADGE KELULUSAN MAHASISWA FIKTI UMSU BERBASIS WEB3 MENGGUNAKAN NFT NON-TRANSFERABLE DENGAN SMART CONTRACT PADA JARINGAN ETHEREUM TESTNET,"Halim Maulana,S.T.,M.Kom"
IMPLEMENTASI MACHINE LEARNING DENGAN MODEL LSTM UNTUK FORECASTING HARGA SAHAM MENGGUNAKAN DATA YAHOO FINANCE,"Dr.Al-khowarizmi,S.Kom.,M.Kom"
ANALISIS PERBANDINGAN METODE LSTM DAN BILSTM UNTUK PREDIKSI HARGA SAHAM MENGGUNAKAN ALPHA VANTAGE API,"Mulkan Azhari,S.Kom.,M.Kom"
OPTIMASI AKURASI BILSTM DALAM PERAMALAN HARGA EMAS,"Dr.Al-khowarizmi,S.Kom.,M.Kom"
PENGEMBANGAN SISTEM PENDUKUNG KEPUTUSAN UNTUK MENENTUKAN MENU BEST SELLER PEGAWAI KANTIN KANTOR PERWAKILAN BANK INDONESIA PROVINSI SUMATERA UTARA MENGGUNAKAN METODE TOPSIS,"Mhd.Basri,S.Si.,M.Kom"
SISTEM PENDUKUNG KEPUTUSAN KUALITAS AIR SUMUR MENGGUNAKAN METODE TOPSIS BERBASIS IOT,"Mahardika Abdi Prawira Tanjung S.Kom.,M.Kom"
PREDIKSI TREN TINGKAT KEPARAHAN PENYAKIT KUCING BERDASARKAN GEJALA KLINIS MENGGUNAKAN REGRESI LOGISTIK MULTINOMIAL,"Zuli Agustina Gultom,M.Si"
ANALISIS FORENSIK DIGITAL TERHADAP PERDAGANGAN DATA PRIBADI DI DARK WEB MENGGUNAKAN OSINT & THREAT INTELLIGENCE,"Mulkan Azhari,S.Kom.,M.Kom"
PENERAPAN METODE YOLO (YOU ONLY LOOK ONCE) DALAM MENDETEKSI OBJEK SEBAGAI PENGAWASAN KEAMANAN SECARA REAL TIME,"Amrullah,S.Kom.,M.Kom"
SISTEM PENDUKUNG KEPUTUSAN DALAM PENENTUAN KELAYAKAN AIR BUDIDAYA IKAN LELE BERBASIS INTERNET OF THINGS (IOT),"Mahardika Abdi Prawira Tanjung S.Kom.,M.Kom"
DETEKSI ZERO-WIDTH CHARACTERS YANG DISAMARKAN PADA URL PHISHING DENGAN MENGGUNAKAN ALGORITMA XGBOOST,"Andi Zulherry,S.Kom.,M.Kom"
PENERAPAN DATA MINING DALAM MEMPREDIKSI PERMINTAAN KANTONG DARAH BERDASARKAN GOLONGAN DARAH MENGGUNAKAN METODE SINGLE MOVING AVERAGE (SMA) STUDI KASUS: UDD PMI KABUPATEN LANGKAT,"DR.Irfan,M.Si"
PENGEMBANGAN APLIKASI AUGMENTED REALITY BERBASIS UNITY VUFORIA DENGAN FITUR INTERAKTIF 3D MENGGUNAKAN METODE DECISION TREE PADA MATERI SISTEM PENCERNAAN MANUSIA UNTUK SISWA SEKOLAH DASAR,"Zuli Agustina Gultom,M.Si"
PERANCANGAN KANDANG KUCING PINTAR BERBASIS INTERNET OF THINGS (IOT),"Rizaldy Khair S.Kom.,M.Kom"
RANCANG BANGUN SISTEM MONITORING KUALITAS AIR PADA BUDIDAYA KEPITING BAKAU BERBABIS IoT MENGGUNAKAN MIKROKONTROLER ESP32 UNTUK MENINGKATKAN POTENSI HIDUP KEPITING BAKAU,"Indah Purnama Sari,S.T.,M.Kom"
SMART WASTE MANAGEMENT SYSTEM: INOVASI TONG SAMPAH IOT DENGAN MEKANISME OTOMATISASI DAN KEAMANAN MODERN,"Yohanni Syahra,S.Si.,M.Kom"
IMPLEMENTASI MACHINE LEARNING UNTUK PENGENALAN BAHASA ISYARAT INDONESIA MENGGUNAKAN MODEL CONVOLUTIONAL NEURAL NETWORK (CNN),"Dr.Al-khowarizmi,S.Kom.,M.Kom"
IMPLEMENTASI GRADIENT BOOSTING MACHINE UNTUK MENDETEKSI PENYAKIT JANTUNG,"Fatma Sari Hutagalung S.Kom.,M.Kom"
IMPLEMENTASI KEAMANAN WEBSITE DARI SERANGAN CROSS SITE REQUEST FORGERY MENGGUNAKAN ALGORITMA HMAC-SHA256 PADA FRAMEWORK LARAVEL,"Andi Zulherry,S.Kom.,M.Kom"
Pengolahan Citra Digital Untuk Ekstraksi Fitur Pada Hybrid Model CNN-SVM Dalam Deteksi Penyakkit Pneunomia Berbasis X-Ray Dada,"DR.Irfan,M.Si"
Perancangan Aplikasi Web Berbasis Ai Untuk Optimasi Kualitas Gambar Fotografi Melalui Metode Filtering Citra Digital,"Dr.Al-khowarizmi,S.Kom.,M.Kom"
IMPLEMENTASI SISTEM KONTROL TIRAI OTOMATIS MENGGUNAKAN MOTOR SERVO DAN SESNSOR ULTRASONIK BERBASIS IOT,"Dr.Al-khowarizmi,S.Kom.,M.Kom"
PENERAPAN METODE ALGORITMA EXTREME GRADIENT BOOSTING DALAM MEMPREDIKSI PENJUALAN THRIFTING PADA TOKO CCHASE,"Yoshida Sari,S.E.,S.Kom.,M.Kom"
Penggunaan Deep Learning untuk Mengklasifikasi Hate speech dan Good Speech Terhadap Pertamina di Platform Twitter dengan Metode Convolutional Neural Network (CNN),"Martiano,S.Pd.,S.Kom.,M.Kom"
PERANCANGAN iKACAMATA iPINTAR iSENSORIK iUNTUK iTUNANETRA iDALAM iMENDETEKSI iOBJEK iDAN iEMERGENCY iBERBASIS iINTERNET iOF iTHINGS i( iIOT i),"Mhd.Basri,S.Si.,M.Kom"
SISTEM REKOMENDASI FILM BERBASIS COLLABORATIVE FILTERING MENGGUNAKAN ALGORITMA MATRIX FACTORIZATION (STUDI KASUS PLATFROM VIU),"Farid Akbar Siregar S.Kom.,M.Kom"
Sistem Monitoring dan Pendukung Keputusan Kondisi Kesehatan Pasien Menggunakan Integrasi Sensor Tanda Vital Berbasis IoT Dengan Metode C4.5,"Mhd.Basri,S.Si.,M.Kom"
AUTENTIKASI GANDA MENGGUNAKAN FINGERPRINT DAN VOICE RECOGNITION PADA KEAMANAN SEPEDA MOTOR BERBASIS IOT,"Mahardika Abdi Prawira Tanjung S.Kom.,M.Kom"
PERBANDINGAN ALGORITMA LOGISTIC REGRESSION DAN K-NEAREST NEIGHBOR (KNN) DALAM DATASET PREDIKSI GAGAL JANTUNG,"DR.Zainal Azis, M.Si"
SISTEM E-MONITORING KESEHATAN TANAMAN HIAS BERBASIS INTERNET OF THINGS (IoT),"Dr.Firahmi Rizky,S.Kom.,M.Kom"
IMPLEMENTASI SISTEM DETEKSI RASA KANTUK PADA PENGEMUDI KENDARAAN RODA EMPAT MENGGUNAKAN OPENCV,"Dr.Al-khowarizmi,S.Kom.,M.Kom"
PENGGUNAAN FITUR WARNA CIELAB DALAM SEGMENTASI KEMATANGAN BUAH KAKAO DENGAN ALGORITMA K-MEANS CLUSTERING,"Indah Purnama Sari,S.T.,M.Kom"
PENGEMBANGAN SISTEM PERTANIAN CERDAS BERBASIS IOT UNTUK DETEKSI DINI HAMA PADA TANAMAN PADI,"Fatma Sari Hutagalung S.Kom.,M.Kom"
IMPLEMENTASI REGRESI LINEAR BERGANDA DALAM FORECAST PENJUALAN PADA CV. SURYA KENCANA SEMBAKO BERBASIS WEBSITE,"Mulkan Azhari,S.Kom.,M.Kom"
DETEKSI POTENSI BAHAYA DI KAMAR MANDI LANSIA DENGAN SISTEM NOTIFIKASI BERBASIS PIR DAN SENSOR MAGNETIK,"Farid Akbar Siregar S.Kom.,M.Kom"
SISTEM MONITORING BERBASIS ESP8266 UNTUK PEMANTAUAN LINGKUNGAN PERKEBUNAN HORTIKULTURA,"Mhd.Basri,S.Si.,M.Kom"
KLASIFIKASI BAU DALAM KULKAS MENGGUNAKAN SENSOR SGP-30 DAN ALGORITMA RANDOM FOREST CLASSIFIER,"Halim Maulana,S.T.,M.Kom"
ANALISIS SENTIMEN GAME GENSHIN IMPACT UNTUK MENGETAHUI REAKSI DAN HARAPAN PEMAIN MENGGUNAKAN METODE NAIVE BAYES,"Andi Zulherry,S.Kom.,M.Kom"
IMPLEMENTASI DEEP LEARNING MENGGUNAKAN METODE CONVOLUTIONAL NEURAL NETWORK (CNN) DALAM MENINGKATKAN DAFTAR HADIR DI FIKTI UMSU,"Rizaldy Khair S.Kom.,M.Kom"
IMPLEMENTASI ALGORITMA SUPPORT VECTOR MACHINE (SVM) DAN CONVOLUTIONAL NEURAL NETWORK(CNN) DALAM MENGETAHUI KEPUASAN PELANGGAN LAUNDRY,"Fatma Sari Hutagalung S.Kom.,M.Kom"
RANCANGAN SISTEM MONITORING LIMBAH INDUSTRI BERBASIS IOT DENGAN VISUALISASI DATA PADA APLIKASI WEB MENGGUNAKAN METODE SUPERVISED LEARNING,"Halim Maulana,S.T.,M.Kom"
PERANCANGAN SISTEM KEAMANAN UNTUK DETEKSI PENCURIAN MENGGUNAKAN SENSOR MAGNETIC DAN RFID BERBASIS INTERNET OF THINGS,"Mhd.Basri,S.Si.,M.Kom"
PENGEMBANGAN ALAT PENDETEKSI KEBOCORAN GAS MENGGUNAKAN REGULATOR OTOMATIS DAN SISTEM DAYA GANDA PANEL SURYA BERBASI IOT,"Mhd.Basri,S.Si.,M.Kom"
PERBANDINGAN ALGORITMA DJIKSTRA DAN ALGORITMA BIDIRECTIONAL DIJKSTRA DALAM PENCARIAN RUTE TERPENDEK,"Mahardika Abdi Prawira Tanjung S.Kom.,M.Kom"
PREDIKSI JUMLAH OMSET PENJUALAN DENGAN MENGGUNAKAN MACHINE LEARNING LINIER REGRESI STUDI KASUS PADA SEBLAK MADIT,"Halim Maulana,S.T.,M.Kom"
RANCANG BANGUN SISTEM NOTIFIKASI PENGGUNAAN ENERGI LISTRIK BERBASIS LAYANAN BOT WHATSAPP DAN BLYNK,"Yoshida Sari,S.E.,S.Kom.,M.Kom"
RANCANG BANGUN SISTEM MONITORING KUALITAS AIR PADA TAMBAK IKAN NILA BERBASIS IOT MENGGUNAKAN NODEMCU V3 DENGAN SENSOR TDS DAN DS18B20,"Martiano,S.Pd.,S.Kom.,M.Kom"
IMPLEMENTASI ALGORITMA ANALYTIC HIERARCHY PROCESS (AHP) PADA MESIN PENETASAN TELUR AYAM BERBASIS INTERNET OF THINGS (IOT),"Fatma Sari Hutagalung S.Kom.,M.Kom"
PREDIKSI POSISI TIM NASIONAL INDONESIA DI AKHIR ROUND 3 KUALIFIKASI PIALA DUNIA GRUP C MENGGUNAKAN MACHINE LEARNIN,"Halim Maulana,S.T.,M.Kom"
APLIKASI PENGOLAHAN TEKS PADA VIDEO MENGGUNAKAN MODIFIKASI METODE LSB DAN ROT13,"Dr.Firahmi Rizky,S.Kom.,M.Kom"
VERIFIKASI KEASLIAN TUGAS SEKOLAH BERDASARKAN ANALISIS TULISAN TANGAN MENGGUNAKAN KOMBINASI CONVOLUTIONAL NEURAL NETWORK DAN SIAMESE NETWORK,"Fatma Sari Hutagalung S.Kom.,M.Kom"
E-MONITORING PENDETEKSI CUACA DAN KELEMBABAN TANAH UNTUK MENINGKATKAN HASIL PANEN PETANI SAWI BERBASIS INTERNET OF THINGS (IOT),"Dr.Firahmi Rizky,S.Kom.,M.Kom"
RANCANG BANGUN SISTEM MONITORING PARAMETER LISTRIK BERBASIS IOT MENGGUNAKAN NODEMCU V3 DAN SENSOR PZEM-004T V3,"Martiano,S.Pd.,S.Kom.,M.Kom"
PERANCANGAN APLIKASI KEAMANAN BANK SOAL UJIAN SEKOLAH MENGGUNAKAN ALGORITMA KRIPTOGRAFI ELGAMAL BERBASIS WEB,"Ferdy Riza,S.T.,M.Kom"
FLYSURVEIL : PRODUKSI DRONE DALAM PROGRAM PEMBINAAN MAHASISWA WIRAUSAHA (P2MW),"Dr.Al-khowarizmi,S.Kom.,M.Kom"
PREDIKSI PERKEMBANGAN TUMBUH KEMBANG ANAK UNTUK PENCEGAHAN RISIKO GIZI BURUK MENGGUNAKAN SUPPORT VECTOR MACHINE (SVM) DENGAN FEATURE SELECTION BACKWARD ELIMINATION,"Indah Purnama Sari,S.T.,M.Kom"
RANCANGAN KIPAS ANGIN OTOMATIS BERBASIS MIKROKONTROLER DENGAN KOMBINASI SENSOR DHT11 DAN MOTION SENSOR,"Mhd.Basri,S.Si.,M.Kom"
ANALISIS SENTIMEN APLIKASI INDRIVE PADA ULASAN GOOGLE PLAYSTORE DENGAN METODE NAIVE BAYES,"Amrullah,S.Kom.,M.Kom"
IMPLEMENTASI IOT BERBASIS QR CODE UNTUK KEAMANAN SMART ROOM,"Dr.Al-khowarizmi,S.Kom.,M.Kom"
IMPLEMENTASI NATURAL LANGUAGE PROCESSING DALAM PERANCANGAN APLIKASI CHATBOT PADA FIKTI UMSU,"Mahardika Abdi Prawira Tanjung S.Kom.,M.Kom"
RANCANG BANGUN ALAT PENDETEKSI DETAK JANTUNG BERBASIS ANDROID SECAR A REAL TIME PROPOSAL SKRIPSI,"Fatma Sari Hutagalung S.Kom.,M.Kom"
PENERAPAN ALGORTIMA K-MEANS UNTUK MEMETAKAN PEMINATAN JURUSAN BAGI SISWA/I SMK RAKSANA 2 MEDAN,"Dr.Firahmi Rizky,S.Kom.,M.Kom"
RANCANG BANGUN SMART BLIND STICK DENGAN PENGGUNAAN SENSOR HC-SR04 DAN WATER LEVEL SENSOR BERBASIS ESP 32 UNTUK MENINGKATKAN MOBILITAS PENYANDANG TUNANETRA,"Halim Maulana,S.T.,M.Kom"
SARUNG TANGAN CERDAS:DALAM DETEKSI KELELAHAN BERKENDARA BERBASIS INTERNET OF THINGS (IOT) DENGAN MENGGUNAKAN ESP32 DAN PULSE SENSOR,"Dr.Al-khowarizmi,S.Kom.,M.Kom"
"PERANCANGAN SISTEM KEAMANAN KAMAR KOS BERBASIS INTERNET OF THINGS (IOT) DENGAN MENGGUNAKAN WEMOS D1 MINI DAN SENSOR PINTU, SERTA INTEGRASI PEMBERITAHUAN MELALUI TELEGRAM","Indah Purnama Sari,S.T.,M.Kom"
PORTAL PARKIR OTOMATIS BERBASIS RFID DENGAN MENGGUNAKAN KTM DAN PINGER UNTUK PINTU GERBANG KAMPUS UMSU,"Mhd.Basri,S.Si.,M.Kom"
PERANCANGAN VIRTUAL TOUR E-PANORAMA 360 DERAJAT UNTUK PENGENALAN FIKTI UMSU MENGGUNAKAN THEASYS,"Farid Akbar Siregar S.Kom.,M.Kom"
PROTOTYPE SISTEM MONITORING KADAR GARAM PADA PROSES PEMBUATAN IKAN ASIN MENGGUNAKAN INTERNET OF THINGS,"Mhd.Basri,S.Si.,M.Kom"
SISTEM PENDUKUNG KEPUTUSAN PEMILIHAN VARIETAS KELAPA OPTIMAL UNTUK PRODUKSI SANTAN: INTEGRASI METODE ANALYTIC HIERARCHY PROCESS DAN SIMPLE ADDITIVE WEIGHTING,"Indah Purnama Sari,S.T.,M.Kom"
IMPLEMENTASI INTERNET OF THINGS UNTUK SISTEM MONITORING PENGGUNAAN DAYA LISTRIK SECARA REAL-TIME PADA LINGKUNGAN RUMAH TANGGA,"Martiano,S.Pd.,S.Kom.,M.Kom"
SISTEM PINTU RUMAH BERBASIS IoT DENGAN FITUR IDENTIFIKASI WAJAH MENGGUNAKAN TELEGRAM,"Martiano,S.Pd.,S.Kom.,M.Kom"
KOMBINASI SIMPLE MULTY ATTRIBUTE RATING TECHNIQUE (SMART) DAN TECHNIQUE FOR ORDER PREFERENE BY SIMILARITY TO IDEAL SOLUTION (TOPSIS) DALAM MENENTUKAN KONTRAKAN TERBAIK,"Fatma Sari Hutagalung S.Kom.,M.Kom"
